building_id,earthquake_id,num_storeys,total_mass_kg,total_height_m,fundamental_period_T1_s,period_T2_s,period_T3_s,period_ratio_T2_T1,first_mode_mass_ratio,first_mode_participation,avg_storey_mass_kg,avg_storey_stiffness_N_m,base_stiffness_N_m,stiffness_taper_ratio,damping_ratio,pga_g,pgv_m_s,pgd_m,arias_intensity_m_s,significant_duration_s,mean_period_Tm_s,predominant_period_Tp_s,Sa_T1_g,Sa_T2_g,Sa_T3_g,Sd_T1_m,Sa_over_PGA,T1_over_Tp,T1_over_Tm,static_drift_proxy,target_max_pidr,target_max_roof_disp_m,target_peak_base_shear_N,target_peak_pfa_m_s2
Bldg_015_10St,Northridge_1994_Sylmar,10.0,2816481.9947992526,40.98256473151777,1.8319490809782595,0.6193726605439063,0.3773880973810691,0.3380949104836264,0.8478015197669436,1545.2565209657066,281648.1994799253,143070004.16746855,143070004.16746855,1.0,0.037694089189244176,0.843,0.8309546252613713,0.3287478434080909,9.138133288190668,9.37,0.4931760280806555,0.8192,0.5542832451272347,1.4400550150658646,2.4741642744391967,0.4618904141932454,0.6575127462956522,2.2362659679910393,3.7145947423840657,0.022136342879738584,0.020418537689178687,0.6359465108212405,11898996.685573205,15.959821448646114
Bldg_031_7St,El_Centro_1940_NS,7.0,856890.734760222,22.75669864505952,1.4911929430096265,0.5226822901820123,0.3255666176728036,0.3505128512257438,0.8443472679464323,850.595879853297,122412.96210860314,46041581.58392334,53788220.09784441,0.7119578041500756,0.04318599737886953,0.348,0.546705574584446,0.18644040753129837,3.1070282308161543,13.060000000000002,0.534173757427226,0.7447272727272727,0.33454985558360945,0.8456216178784499,0.9709380592374471,0.1847645373092924,0.9613501597230157,2.002334274060778,2.791587797558141,0.013574682483106048,0.013651938208223954,0.2452038390427347,2373851.367465843,6.6481490189601775
Bldg_001_9St,Friuli_1976_Tolmezzo_scaled_0.49g,9.0,1527742.1397965779,38.35519513262496,2.1413036512544052,0.7346964083904504,0.4502992706525202,0.3431070637553226,0.845007649463895,1136.201476207652,169749.1266440642,50592313.74146908,55675323.882297106,0.8174052780878655,0.05395655297064335,0.4927999999999999,0.2989388880736565,0.14402106824138175,2.5651342207749837,10.049999999999999,0.42783232247186936,0.3250793650793651,0.12793680069886937,0.6061590380690713,0.9051536811436871,0.14605381386549943,0.2596120144051733,6.58701806782361,5.005006725257882,0.005787300621112716,0.007246635074374409,0.18884994195621968,1803667.3910384693,4.279288622414949
Bldg_010_4St,San_Fernando_1971_Pacoima,4.0,577210.2580398876,15.589050114707588,0.9035156567368826,0.3317185659069841,0.22164574174728088,0.367142022867663,0.8750783301686131,710.7068233538631,144302.5645099719,51967001.47358608,60903626.192958586,0.7065322616075785,0.058122873880958124,1.17,1.0361741213226916,0.47368625496262196,19.729249200797177,9.42,0.461649004640927,0.28054794520547943,1.0617610085329283,2.7667831396191023,3.6119268600180074,0.21541495359983215,0.9074880414811354,3.2205392061422087,1.9571484995178139,0.022157747298527673,0.022783600196909035,0.2882506028517371,5222027.567805613,24.416327441970033
Bldg_021_8St,Northridge_1994_Sylmar,8.0,2522754.82118266,32.32951534566002,2.6102427070001735,0.9254001036349783,0.5728010687995481,0.35452645884355183,0.8357723193147679,1452.0498090500698,315344.3526478325,48088571.83372548,57616640.05790957,0.6692598452597174,0.02453858408069792,0.843,0.8309546252613713,0.3287478434080909,9.138133288190668,9.37,0.4931760280806555,0.8192,0.3853437735042631,1.4275880970161379,2.2143628987017823,0.6522157552885917,0.45711005160648055,3.186331429443571,5.29272016151865,0.02901167566735935,0.04105538166324191,0.8353354073388389,10668864.51383042,9.656593732563667
Bldg_040_5St,ChiChi_1999_TCU068_scaled_0.31g,5.0,886610.9492362948,19.765736699798776,1.0612910403555909,0.38285605262008715,0.2551718244840761,0.36074558067672874,0.8574015036543967,871.8839148829684,177322.18984725897,67561726.4654356,78967512.31225075,0.6389089160579486,0.024267970004537443,0.3072,0.4197024049123519,0.1679459788731353,2.073212799530516,18.89,0.7206483050886867,0.6206060606060606,0.5245031971289364,1.2258165570388733,0.6953095384898985,0.14675009125591282,1.7073671781540902,1.7100881021354735,1.4726892894377694,0.01252548895251851,0.014525491731261116,0.18376945961154095,4534425.822118659,9.825018821669243
Bldg_003_7St,Friuli_1976_Tolmezzo_scaled_0.21g,7.0,1916270.4866929152,21.004371166760656,1.7280142136463181,0.5969958868135233,0.3709851306358629,0.34548088904534535,0.8517525842969699,1277.5712658214816,273752.92667041643,76957987.31765112,83542359.52837032,0.8423704513999704,0.03410275425336676,0.2112,0.12811666631728136,0.0617233149605922,0.471147101774997,10.049999999999999,0.42783232247186925,0.3250793650793651,0.11151270775321809,0.32342761932651415,0.48946636209796257,0.08271371616649727,0.5279957753466765,5.315668723619045,4.038998745261791,0.007120277613565636,0.007832922813394485,0.10498258443888009,1963551.1911947408,2.653487169254446
Bldg_026_8St,El_Centro_1940_NS_scaled_0.49g,8.0,1015166.0411593535,27.05742871588174,1.3951200061550888,0.48102600867032974,0.2939048899595255,0.3447918505563,0.8676064061736877,938.4905756798182,126895.75514491918,72720867.3625144,62594538.81860429,1.073553100159606,0.03644826883488745,0.4871999999999999,0.7653878044182246,0.26101657054381694,6.089775332399659,13.060000000000002,0.5341737574272261,0.7447272727272727,0.5038492450826947,1.279795900897846,1.5447391744004269,0.24355371688434296,1.0341733273454325,1.8733300863898898,2.6117344529886513,0.018753116114736137,0.020332033265855632,0.3227310588045039,4718331.913332533,11.493242914508983
Bldg_005_5St,Loma_Prieta_1989_Corralitos_scaled_0.90g,5.0,1054965.4097151533,19.818838538279376,0.8108817871991694,0.2855759554952941,0.18628453092568645,0.3521795161803908,0.8722298013627929,959.2561022795037,210993.08194303064,142976339.73852292,158130879.27603912,0.7604114451444064,0.038812025377841536,0.9015999999999998,0.9605448110846201,0.5591609350109363,13.560562443787077,11.41,0.6811214742642782,1.0778947368421052,1.3295562541836132,2.970264245016006,1.9502985333886727,0.21682553956499845,1.4746631035754365,0.7522829080461044,1.190509795738056,0.019141309834381268,0.01872164771664816,0.2819325348484781,11734617.822922966,23.00409177216496
Bldg_026_8St,Friuli_1976_Tolmezzo_scaled_0.21g,8.0,1015166.0411593535,27.05742871588174,1.3951200061550888,0.48102600867032974,0.2939048899595255,0.3447918505563,0.8676064061736877,938.4905756798182,126895.75514491918,72720867.3625144,62594538.81860429,1.073553100159606,0.03644826883488745,0.2112,0.12811666631728136,0.0617233149605922,0.471147101774997,10.049999999999999,0.42783232247186925,0.3250793650793651,0.10071302755419485,0.44612578935287334,0.5002125919025959,0.048699705849390006,0.4768609259194832,4.291628925184111,3.260903706607676,0.0037485083453493214,0.004095724462243632,0.061927292532651036,950469.9891906064,2.4144209170533015
